Unnamed: 0,name,url,year,certificate,rating,votes,plot,Action,Adventure,Comedy,Crime,Family,Fantasy,Mystery,Sci-Fi,Thriller
86,Resident Evil VII: Biohazard,https://www.imdb.com/title/tt3569570/?ref_=adv_li_tt,2017.0,M,8.6,7633.0,An ordinary man must embark on a search to find his missing wife that leads him to an abandoned house where a mysterious family lives who harbor an evil secret within the house and themselves.,True,False,False,False,False,False,False,False,False
87,Assassin's Creed III,https://www.imdb.com/title/tt2175563/?ref_=adv_li_tt,2012.0,M,8.0,16911.0,"The American Colonies, 1775. It's a time of civil unrest and political upheaval in the Americas. As a Native American fights to protect his land and his people, he will ignite the flames of a young nation's revolution.",True,True,False,False,False,False,False,False,False
88,Mafia: Definitive Edition,https://www.imdb.com/title/tt12354406/?ref_=adv_li_tt,2020.0,M,8.3,2442.0,The game follows Thomas Angelo where his life as a hard-working taxi driver is forever changed after a fateful run-in with the Italian Mafia.,True,True,False,True,False,False,False,False,False
89,Far Cry 4,https://www.imdb.com/title/tt3742988/?ref_=adv_li_tt,2014.0,M,8.1,9674.0,"To fulfil his mother's dying wish, Ajay Ghale travels to Kyrat to scatter her ashes. Before he can accomplish this, though, he must end a civil war between the Golden Path and Min's forces.",True,True,False,False,False,False,False,False,False
91,Metal Gear Rising: Revengeance,https://www.imdb.com/title/tt1602611/?ref_=adv_li_tt,2013.0,M,7.7,2363.0,"In the year 2018, cybernetic soldier Raiden goes on a mission to stop a terrorist organization from starting a war for financial gain.",True,True,False,False,False,False,False,True,False
92,Call of Duty: WWII,https://www.imdb.com/title/tt6824658/?ref_=adv_li_tt,2017.0,M,7.8,6300.0,You play various American servicemen and their allies in World War II as the Western Allies fight their way through Europe during and after the invasion of Normandy.,True,False,False,False,False,False,False,False,False
93,Resident Evil 4,https://www.imdb.com/title/tt0397042/?ref_=adv_li_tt,2005.0,M,9.2,13129.0,"Six years after the events in Raccoon City, Leon Kennedy, now a federal agent, is sent to a rural part of Spain to rescue the U.S. President's kidnapped daughter, Ashley Graham from a sinister cult.",True,True,False,False,False,True,False,False,False
94,God of War,https://www.imdb.com/title/tt0416779/?ref_=adv_li_tt,2005.0,M,9.1,10150.0,"After 10 years of endless nightmares and servitude to the gods of Olympus, Kratos is assigned with a final task, to kill Ares, the God of War.",True,True,False,False,False,True,False,False,False
95,Saints Row IV,https://www.imdb.com/title/tt2971572/?ref_=adv_li_tt,2013.0,M,7.8,4157.0,Play as your own customized President of United States of America and fight for an Alien invasion that nobody saw coming.,True,True,True,False,False,False,False,False,False
97,Resident Evil 2,https://www.imdb.com/title/tt7826034/?ref_=adv_li_tt,2019.0,M,9.1,7029.0,"Re-imagining of Resident Evil 2 (1998), with a third-person over-the-shoulder view, new details, rearranged and new areas, no more loading screen doors, new puzzle solving opportunities, a gunpowder crafting mechanic and more.",True,False,False,False,False,False,False,True,False
99,Grand Theft Auto III,https://www.imdb.com/title/tt0277723/?ref_=adv_li_tt,2001.0,M,8.7,15703.0,"A young bank robber escapes from police custody and works his way up through the mafia ladder of crime-ridden Liberty City, USA.",True,False,False,True,False,False,False,False,False
101,BioShock Infinite,https://www.imdb.com/title/tt1712064/?ref_=adv_li_tt,2013.0,M,9.1,20162.0,"A man is sent to the flying city of Columbia to find a missing girl. However, upon arrival he discovers that the city, its people, and his objective are all not what they seem.",True,True,False,False,False,False,False,False,False
102,Mass Effect: Andromeda,https://www.imdb.com/title/tt4876864/?ref_=adv_li_tt,2017.0,M,6.9,5287.0,"The Andromeda Initiative sets a course for a new galaxy, hoping to find a new home for the species of the Milky Way.",True,True,False,False,False,False,True,False,False
103,Fortnite: Chapter 3,https://www.imdb.com/title/tt16358708/?ref_=adv_li_tt,2021.0,T,5.9,661.0,The Island has flipped. The Foundation is seeking help from the Loopers and Agent Jones helps him and The Seven reunite and find Geno.,True,True,False,False,False,True,False,False,False
104,The Legend of Zelda: Breath of the Wild,https://www.imdb.com/title/tt3253986/?ref_=adv_li_tt,2017.0,E10+,9.4,7138.0,"After a century of hibernation, Link reawakens to once again save a ruined Hyrule from a great evil.",True,True,False,False,False,True,False,False,False
105,Watch Dogs 2,https://www.imdb.com/title/tt5788078/?ref_=adv_li_tt,2016.0,M,7.6,3866.0,"In San Francisco, hacker Marcus Holloway joins DedSec, to take down a corrupt system by fighting and hacking his way through the entire San Francisco Bay.",True,False,False,True,False,False,True,False,False
106,Saints Row 2,https://www.imdb.com/title/tt1024918/?ref_=adv_li_tt,2008.0,M,8.0,3265.0,"Several new upstart gangs have been able to sweep in and make their mark on Stilwater. As leader of the Saints, you'll have to do whatever it takes to protect the members of your gang.",True,False,False,True,False,False,False,False,False
